swatch_id,img,x0,y0,x1,y1,top_stop,bottom_stop,border,text_cloud,grad_mag,border_contrast
swatch-001,IMG_6314.png,13,16,159,184,#f7f7f7,#dcdcdc,#cccdcf,#b4b4b4,26.72,28.03
swatch-002,IMG_6314.png,187,16,333,184,#f7f7f7,#e6e6e6,#d3d3d3,#b4b4b4,17.0,48.86
swatch-003,IMG_6314.png,361,16,506,184,#f7f7f7,#e6e6e6,#d1d1d1,#b4b4b4,16.99,44.42
swatch-004,IMG_6314.png,534,16,680,184,#f7f7f7,#e6e6e6,#d5d5d5,#b4b4b4,16.99,49.35
swatch-005,IMG_6314.png,708,16,854,184,#f7f7f7,#dfdfdf,#cacdcf,#b3b3b3,23.43,28.29
swatch-006,IMG_6314.png,23,18,266,207,#f7f7f7,#e0e0e0,#cacbcc,#838383,23.16,26.76
swatch-007,IMG_6314.png,312,18,555,207,#f7f7f7,#e0e0e0,#d6d6d6,#838383,23.18,46.66
swatch-008,IMG_6314.png,601,18,844,207,#dfebf8,#e0e0e0,#cbcdce,#838383,11.89,29.38
swatch-009,IMG_6314.png,17,20,199,237,#f7f7f7,#6f6f6f,#c7c8c9,#616161,136.14,18.83
swatch-010,IMG_6314.png,234,20,416,237,#f1f1f1,#d7d7d7,#d0d0d0,#616161,25.18,28.37
swatch-011,IMG_6314.png,451,20,633,237,#f7f7f7,#d7d7d7,#cfcfcf,#616161,31.49,26.98
swatch-012,IMG_6314.png,668,20,850,237,#e9f0f7,#859582,#c3c5c6,#616161,102.56,16.1
swatch-013,IMG_6314.png,13,216,159,384,#cccdcd,#cccccc,#9e9e9e,#dddddd,0.18,47.59
swatch-014,IMG_6314.png,187,216,333,384,#d4d4d5,#c6c6c5,#d4d4d4,#dedede,14.91,7.53
swatch-015,IMG_6314.png,361,216,506,384,#d4d5d5,#e0e0e0,#d9d9d9,#dedfdf,11.65,7.95
swatch-016,IMG_6314.png,534,216,680,384,#d4d4d5,#e0e0e0,#dbdbdb,#dedede,11.31,0.26
swatch-017,IMG_6314.png,708,216,854,384,#a3aca2,#d8d8d8,#a5a8a4,#dddddd,49.98,46.63
swatch-018,IMG_6314.png,23,243,266,432,#cccccc,#e0e0e0,#bababa,#b6b6b6,19.89,22.21
swatch-019,IMG_6314.png,312,243,555,432,#cccccc,#aeaeae,#d8d8d8,#b9b9b9,29.72,1.6
swatch-020,IMG_6314.png,601,243,844,432,#cccccc,#cbd4c8,#bcbdbc,#dedede,4.26,33.8
swatch-021,IMG_6314.png,17,278,199,494,#dddddd,#9e9e9e,#a3a3a3,#dadada,62.6,52.2
swatch-022,IMG_6314.png,234,278,416,494,#dedede,#4f4f4f,#b2b5b2,#e0e0e0,143.35,32.18
swatch-023,IMG_6314.png,451,278,633,494,#dedede,#8aba7d,#b8cbb3,#cecece,72.39,18.99
swatch-024,IMG_6314.png,668,278,850,494,#dddddd,#adc4a7,#a3ada1,#dfdfdf,42.47,55.85
swatch-025,IMG_6314.png,13,416,159,585,#d5d5d5,#d7d7d7,#a5a5a5,#e1e1e1,2.85,21.11
swatch-026,IMG_6314.png,187,416,333,585,#e1e1e1,#e5e5e5,#aeaeae,#4b4b4b,3.61,98.97
swatch-027,IMG_6314.png,361,416,506,585,#e2e2e2,#94b78b,#aab5a7,#8bc37c,69.17,14.31
swatch-028,IMG_6314.png,534,416,680,585,#e1e1e1,#587451,#b5c5b0,#638f57,130.03,65.47
swatch-029,IMG_6314.png,708,416,854,585,#d9d9d9,#d2d4d2,#9ea69b,#e1e1e1,5.97,39.56
swatch-030,IMG_6314.png,23,469,266,658,#777777,#d6d6d6,#969696,#838383,95.07,21.8
swatch-031,IMG_6314.png,312,469,555,658,#83b078,#e5e6e5,#b1bbae,#8eba84,86.61,4.94
swatch-032,IMG_6314.png,601,469,844,658,#89ae81,#cecdcd,#9aa896,#6a7b66,58.54,12.89
swatch-033,IMG_6314.png,17,536,199,752,#9a9a9a,#d5d5d5,#a4a3a4,#d8d8d8,58.94,51.49
swatch-034,IMG_6314.png,234,536,416,752,#444444,#eaeae9,#b3b8b1,#d3d1d1,165.35,39.83
swatch-035,IMG_6314.png,451,536,633,752,#789d6f,#e5e4e3,#b2c2ae,#cccaca,98.31,28.94
swatch-036,IMG_6314.png,668,536,850,752,#9fa99d,#d3d2d2,#a4a8a2,#d5d4d4,49.16,43.52
swatch-037,IMG_6314.png,13,617,159,785,#d2d2d2,#d4d4d4,#adacac,#e6e6e6,1.83,38.44
swatch-038,IMG_6314.png,187,617,333,785,#cccbcb,#fefefe,#d5d4d4,#9a9999,50.56,9.84
swatch-039,IMG_6314.png,361,617,506,785,#d6d3d3,#fefefe,#d9d9d7,#85b679,41.91,16.1
swatch-040,IMG_6314.png,534,617,680,785,#bbb9b9,#fefefe,#cecccc,#5f5f5f,68.54,16.84
swatch-041,IMG_6314.png,708,617,854,785,#d4d4d4,#d9d9d9,#a9a8a8,#e6e6e6,5.47,46.26
swatch-042,IMG_6314.png,23,694,266,883,#c9c9c9,#a4cf98,#aeb6ac,#c0c0c0,30.82,41.93
swatch-043,IMG_6314.png,312,694,555,883,#95bf8b,#e9e9e9,#dce0da,#dddcdb,73.18,11.54
swatch-044,IMG_6314.png,601,694,844,883,#c2c1c1,#e9e9e9,#b9b8b8,#c2c0c0,39.66,33.19
swatch-045,IMG_6314.png,17,793,199,1010,#d7d7d7,#949494,#939b91,#b3d1ac,66.94,55.98
swatch-046,IMG_6314.png,234,793,416,1010,#cecccc,#b7cdb1,#cbd4c8,#cdcdcd,16.86,18.01
swatch-047,IMG_6314.png,451,793,633,1010,#d4d1d1,#d7dcd5,#cad4c6,#cecece,6.21,17.41
swatch-048,IMG_6314.png,668,793,850,1010,#dad9d9,#ebebeb,#bdbcbc,#eaeaea,17.54,45.69
swatch-049,IMG_6314.png,13,817,159,986,#dcdcdc,#c5c5c5,#a0a79f,#e9e9e9,22.92,39.0
swatch-050,IMG_6314.png,187,817,333,986,#ebebeb,#e6e6e6,#ccd6ca,#e7e7e7,4.96,21.3
swatch-051,IMG_6314.png,361,817,506,986,#ececec,#67a658,#cad6c7,#bebebe,116.63,14.54
swatch-052,IMG_6314.png,534,817,680,986,#ebebeb,#e4e3e3,#e5e5e5,#cfcece,7.59,5.62
swatch-053,IMG_6314.png,708,817,854,986,#e1e1e1,#e3e3e3,#bfbfbf,#e9e9e9,2.11,34.45
swatch-054,IMG_6314.png,23,920,266,1109,#97c08e,#c3e8bb,#b3c0b0,#638959,43.26,31.94
swatch-055,IMG_6314.png,312,920,555,1109,#e6e5e5,#67a658,#cdd7c9,#67a658,110.32,75.55
swatch-056,IMG_6314.png,601,920,844,1109,#e9e8e8,#e7e7e7,#c2c4c1,#ececec,1.48,37.48
swatch-057,IMG_6314.png,13,1018,159,1186,#b6b6b5,#cfd9cc,#9ba798,#ececec,27.9,52.73
swatch-058,IMG_6314.png,187,1018,333,1186,#e2e2e1,#e1dfdf,#b6c9b1,#dedbdb,1.89,34.06
swatch-059,IMG_6314.png,361,1018,506,1186,#67a658,#dad7d7,#a8c5a0,#b8cab2,97.06,5.55
swatch-060,IMG_6314.png,534,1018,680,1186,#a7c49f,#dad7d7,#c8d5c4,#dcdbda,41.91,3.77
swatch-061,IMG_6314.png,708,1018,854,1186,#e3e3e3,#e4e4e4,#c1c1c1,#ececec,0.78,34.76
swatch-062,IMG_6314.png,17,1051,199,1267,#ececec,#ececec,#a3aaa2,#cce2c7,0.33,45.21
swatch-063,IMG_6314.png,234,1051,416,1267,#81b275,#f2f2f2,#d0ddcc,#d8d6d6,100.5,11.17
swatch-064,IMG_6314.png,451,1051,633,1267,#67a658,#f2f2f2,#c7d7c3,#d9d7d7,122.57,20.68
swatch-065,IMG_6314.png,668,1051,850,1267,#ececec,#ececec,#c2c1c1,#ededed,0.31,42.98
swatch-066,IMG_6314.png,23,1145,266,1334,#b2dba8,#ededed,#c0c6bf,#ededed,48.62,43.59
swatch-067,IMG_6314.png,312,1145,555,1334,#dbd8d8,#f1f1f1,#e8e8e7,#f3f3f3,24.11,11.08
swatch-068,IMG_6314.png,601,1145,844,1334,#e7e6e6,#ededed,#cacaca,#ededed,6.67,35.15
swatch-069,IMG_6314.png,13,1218,159,1387,#e0e0e0,#e2e2e2,#c2c2c2,#ebebeb,2.43,29.32
swatch-070,IMG_6314.png,187,1218,333,1387,#f0f0f0,#b5b5b5,#e5e5e5,#efefef,59.08,10.78
swatch-071,IMG_6314.png,361,1218,506,1387,#f3f4f3,#f6f7f6,#eaeee9,#f2f2f2,2.79,7.53
swatch-072,IMG_6314.png,534,1218,680,1387,#f0f0f0,#fbfbfb,#f4f4f4,#efeff0,10.84,2.62
